drs_id,url,filename_osn,filepath_osn,file_type,table_title,table_type,multilevel_columns,multilevel_rows,computation_ready,table_group,table_group_members,shape,size,columns,series_type,series_num,series_name,image_handwriting,image_two_page,related_image,related_csv,related_txt,related_alto,entities,volume_title,attribution,author,published,notes,subjects,creation_date,record_id,permalink
44319541,https://ids.lib.harvard.edu/ids/iiif/44319541/full/full/0/default.jpg,005825557_pt1_00001.innodata.jpg,005825557_pt1_00001.innodata.jpg,image,,,,,,,,,,,,,Miscellaneous,FALSE,FALSE,005825557_pt1_00001.innodata.jpg,,005825557_pt1_00001.innodata.txt,,,"Trade statistics of the treaty ports, for the period 1863-1872","Compiled for the Austro-Hungarian Universal Exhibition, Vienna, 1873 to illustrate the international exchange of products ; published by order of the Inspector General of Chinese Maritime Customs.",China. Hai guan zong shui wu si shu.,"Shanghai : Imperial Maritime Customs, 1873.","Includes separately paged documents entitled Statistics of trade, with separate title page, for the following ports: Newchwang, Tientsin, Chefoo, Hankow, Kiukiang, Chinkiang, Shanghai, Ningpo, Foochow, Tamsui, Takow, Amoy, Swatow, Canton.; Robert Hart, Inspector General.; Tables include: I. Tonnage.--II. Values.--III. Articles.--IV. Revenue.--V. Population.",Vienna International Exhibition (1873);China -- Catalogs;Harbors -- China;China -- Population -- Statistics;China -- Commerce -- Statistics,1873,9.90E+17,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211970791270003941
44319542,https://ids.lib.harvard.edu/ids/iiif/44319542/full/full/0/default.jpg,005825557_pt1_00002.innodata.jpg,005825557_pt1_00002.innodata.jpg,image,,,,,,,,,,,,,Miscellaneous,FALSE,FALSE,005825557_pt1_00002.innodata.jpg,,005825557_pt1_00002.innodata.txt,,,"Trade statistics of the treaty ports, for the period 1863-1872","Compiled for the Austro-Hungarian Universal Exhibition, Vienna, 1873 to illustrate the international exchange of products ; published by order of the Inspector General of Chinese Maritime Customs.",China. Hai guan zong shui wu si shu.,"Shanghai : Imperial Maritime Customs, 1873.","Includes separately paged documents entitled Statistics of trade, with separate title page, for the following ports: Newchwang, Tientsin, Chefoo, Hankow, Kiukiang, Chinkiang, Shanghai, Ningpo, Foochow, Tamsui, Takow, Amoy, Swatow, Canton.; Robert Hart, Inspector General.; Tables include: I. Tonnage.--II. Values.--III. Articles.--IV. Revenue.--V. Population.",Vienna International Exhibition (1873);China -- Catalogs;Harbors -- China;China -- Population -- Statistics;China -- Commerce -- Statistics,1873,9.90E+17,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211970791270003941
44319543,https://ids.lib.harvard.edu/ids/iiif/44319543/full/full/0/default.jpg,005825557_pt1_00003.innodata.jpg,005825557_pt1_00003.innodata.jpg,image,,,,,,,,,,,,,Miscellaneous,FALSE,FALSE,005825557_pt1_00003.innodata.jpg,,005825557_pt1_00003.innodata.txt,,,"Trade statistics of the treaty ports, for the period 1863-1872","Compiled for the Austro-Hungarian Universal Exhibition, Vienna, 1873 to illustrate the international exchange of products ; published by order of the Inspector General of Chinese Maritime Customs.",China. Hai guan zong shui wu si shu.,"Shanghai : Imperial Maritime Customs, 1873.","Includes separately paged documents entitled Statistics of trade, with separate title page, for the following ports: Newchwang, Tientsin, Chefoo, Hankow, Kiukiang, Chinkiang, Shanghai, Ningpo, Foochow, Tamsui, Takow, Amoy, Swatow, Canton.; Robert Hart, Inspector General.; Tables include: I. Tonnage.--II. Values.--III. Articles.--IV. Revenue.--V. Population.",Vienna International Exhibition (1873);China -- Catalogs;Harbors -- China;China -- Population -- Statistics;China -- Commerce -- Statistics,1873,9.90E+17,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211970791270003941
44319544,https://ids.lib.harvard.edu/ids/iiif/44319544/full/full/0/default.jpg,005825557_pt1_00004.innodata.jpg,005825557_pt1_00004.innodata.jpg,image,,,,,,,,,,,,,Miscellaneous,FALSE,FALSE,005825557_pt1_00004.innodata.jpg,,005825557_pt1_00004.innodata.txt,,,"Trade statistics of the treaty ports, for the period 1863-1872","Compiled for the Austro-Hungarian Universal Exhibition, Vienna, 1873 to illustrate the international exchange of products ; published by order of the Inspector General of Chinese Maritime Customs.",China. Hai guan zong shui wu si shu.,"Shanghai : Imperial Maritime Customs, 1873.","Includes separately paged documents entitled Statistics of trade, with separate title page, for the following ports: Newchwang, Tientsin, Chefoo, Hankow, Kiukiang, Chinkiang, Shanghai, Ningpo, Foochow, Tamsui, Takow, Amoy, Swatow, Canton.; Robert Hart, Inspector General.; Tables include: I. Tonnage.--II. Values.--III. Articles.--IV. Revenue.--V. Population.",Vienna International Exhibition (1873);China -- Catalogs;Harbors -- China;China -- Population -- Statistics;China -- Commerce -- Statistics,1873,9.90E+17,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211970791270003941
44319545,https://ids.lib.harvard.edu/ids/iiif/44319545/full/full/0/default.jpg,005825557_pt1_00005.innodata.jpg,005825557_pt1_00005.innodata.jpg,image,,,,,,,,,,,,,Miscellaneous,FALSE,FALSE,005825557_pt1_00005.innodata.jpg,,005825557_pt1_00005.innodata.txt,,,"Trade statistics of the treaty ports, for the period 1863-1872","Compiled for the Austro-Hungarian Universal Exhibition, Vienna, 1873 to illustrate the international exchange of products ; published by order of the Inspector General of Chinese Maritime Customs.",China. Hai guan zong shui wu si shu.,"Shanghai : Imperial Maritime Customs, 1873.","Includes separately paged documents entitled Statistics of trade, with separate title page, for the following ports: Newchwang, Tientsin, Chefoo, Hankow, Kiukiang, Chinkiang, Shanghai, Ningpo, Foochow, Tamsui, Takow, Amoy, Swatow, Canton.; Robert Hart, Inspector General.; Tables include: I. Tonnage.--II. Values.--III. Articles.--IV. Revenue.--V. Population.",Vienna International Exhibition (1873);China -- Catalogs;Harbors -- China;China -- Population -- Statistics;China -- Commerce -- Statistics,1873,9.90E+17,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211970791270003941
44319546,https://ids.lib.harvard.edu/ids/iiif/44319546/full/full/0/default.jpg,005825557_pt1_00006.innodata.jpg,005825557_pt1_00006.innodata.jpg,image,,,,,,,,,,,,,Miscellaneous,FALSE,FALSE,005825557_pt1_00006.innodata.jpg,,005825557_pt1_00006.innodata.txt,,,"Trade statistics of the treaty ports, for the period 1863-1872","Compiled for the Austro-Hungarian Universal Exhibition, Vienna, 1873 to illustrate the international exchange of products ; published by order of the Inspector General of Chinese Maritime Customs.",China. Hai guan zong shui wu si shu.,"Shanghai : Imperial Maritime Customs, 1873.","Includes separately paged documents entitled Statistics of trade, with separate title page, for the following ports: Newchwang, Tientsin, Chefoo, Hankow, Kiukiang, Chinkiang, Shanghai, Ningpo, Foochow, Tamsui, Takow, Amoy, Swatow, Canton.; Robert Hart, Inspector General.; Tables include: I. Tonnage.--II. Values.--III. Articles.--IV. Revenue.--V. Population.",Vienna International Exhibition (1873);China -- Catalogs;Harbors -- China;China -- Population -- Statistics;China -- Commerce -- Statistics,1873,9.90E+17,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211970791270003941
44319547,https://ids.lib.harvard.edu/ids/iiif/44319547/full/full/0/default.jpg,005825557_pt1_00007.innodata.jpg,005825557_pt1_00007.innodata.jpg,image,INTRODUCTION,Other,TRUE,TRUE,FALSE,FALSE,,,,[],,,Miscellaneous,FALSE,FALSE,005825557_pt1_00007.innodata.jpg,005825557_pt1_00007_iii-iv.innodata.csv,005825557_pt1_00007.innodata.txt,,,"Trade statistics of the treaty ports, for the period 1863-1872","Compiled for the Austro-Hungarian Universal Exhibition, Vienna, 1873 to illustrate the international exchange of products ; published by order of the Inspector General of Chinese Maritime Customs.",China. Hai guan zong shui wu si shu.,"Shanghai : Imperial Maritime Customs, 1873.","Includes separately paged documents entitled Statistics of trade, with separate title page, for the following ports: Newchwang, Tientsin, Chefoo, Hankow, Kiukiang, Chinkiang, Shanghai, Ningpo, Foochow, Tamsui, Takow, Amoy, Swatow, Canton.; Robert Hart, Inspector General.; Tables include: I. Tonnage.--II. Values.--III. Articles.--IV. Revenue.--V. Population.",Vienna International Exhibition (1873);China -- Catalogs;Harbors -- China;China -- Population -- Statistics;China -- Commerce -- Statistics,1873,9.90E+17,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211970791270003941
44319548,https://ids.lib.harvard.edu/ids/iiif/44319548/full/full/0/default.jpg,005825557_pt1_00008.innodata.jpg,005825557_pt1_00008.innodata.jpg,image,,,,,,,,,,,,,Miscellaneous,FALSE,FALSE,005825557_pt1_00008.innodata.jpg,,005825557_pt1_00008.innodata.txt,,,"Trade statistics of the treaty ports, for the period 1863-1872","Compiled for the Austro-Hungarian Universal Exhibition, Vienna, 1873 to illustrate the international exchange of products ; published by order of the Inspector General of Chinese Maritime Customs.",China. Hai guan zong shui wu si shu.,"Shanghai : Imperial Maritime Customs, 1873.","Includes separately paged documents entitled Statistics of trade, with separate title page, for the following ports: Newchwang, Tientsin, Chefoo, Hankow, Kiukiang, Chinkiang, Shanghai, Ningpo, Foochow, Tamsui, Takow, Amoy, Swatow, Canton.; Robert Hart, Inspector General.; Tables include: I. Tonnage.--II. Values.--III. Articles.--IV. Revenue.--V. Population.",Vienna International Exhibition (1873);China -- Catalogs;Harbors -- China;China -- Population -- Statistics;China -- Commerce -- Statistics,1873,9.90E+17,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211970791270003941
44319549,https://ids.lib.harvard.edu/ids/iiif/44319549/full/full/0/default.jpg,005825557_pt1_00009.innodata.jpg,005825557_pt1_00009.innodata.jpg,image,,,,,,,,,,,,,Miscellaneous,FALSE,FALSE,005825557_pt1_00009.innodata.jpg,,005825557_pt1_00009.innodata.txt,,,"Trade statistics of the treaty ports, for the period 1863-1872","Compiled for the Austro-Hungarian Universal Exhibition, Vienna, 1873 to illustrate the international exchange of products ; published by order of the Inspector General of Chinese Maritime Customs.",China. Hai guan zong shui wu si shu.,"Shanghai : Imperial Maritime Customs, 1873.","Includes separately paged documents entitled Statistics of trade, with separate title page, for the following ports: Newchwang, Tientsin, Chefoo, Hankow, Kiukiang, Chinkiang, Shanghai, Ningpo, Foochow, Tamsui, Takow, Amoy, Swatow, Canton.; Robert Hart, Inspector General.; Tables include: I. Tonnage.--II. Values.--III. Articles.--IV. Revenue.--V. Population.",Vienna International Exhibition (1873);China -- Catalogs;Harbors -- China;China -- Population -- Statistics;China -- Commerce -- Statistics,1873,9.90E+17,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211970791270003941
44319550,https://ids.lib.harvard.edu/ids/iiif/44319550/full/full/0/default.jpg,005825557_pt1_00010.innodata.jpg,005825557_pt1_00010.innodata.jpg,image,,,,,,,,,,,,,Miscellaneous,FALSE,FALSE,005825557_pt1_00010.innodata.jpg,,005825557_pt1_00010.innodata.txt,,,"Trade statistics of the treaty ports, for the period 1863-1872","Compiled for the Austro-Hungarian Universal Exhibition, Vienna, 1873 to illustrate the international exchange of products ; published by order of the Inspector General of Chinese Maritime Customs.",China. Hai guan zong shui wu si shu.,"Shanghai : Imperial Maritime Customs, 1873.","Includes separately paged documents entitled Statistics of trade, with separate title page, for the following ports: Newchwang, Tientsin, Chefoo, Hankow, Kiukiang, Chinkiang, Shanghai, Ningpo, Foochow, Tamsui, Takow, Amoy, Swatow, Canton.; Robert Hart, Inspector General.; Tables include: I. Tonnage.--II. Values.--III. Articles.--IV. Revenue.--V. Population.",Vienna International Exhibition (1873);China -- Catalogs;Harbors -- China;China -- Population -- Statistics;China -- Commerce -- Statistics,1873,9.90E+17,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211970791270003941
